id,title,text,label
1503, WTF? Trump Demanded Comey’s ‘Loyalty’ At Private Dinner,"President Donald Trump told his account of a private dinner he had with James Comey to Lester Holt but now it appears a lot more happened that he didn t mention and a lot of what he said went on, didn t.According to Trump, the dinner was set for Comey to ask to keep his job. On its face, this is farcical. The FBI Director is appointed for terms of ten years so Comey didn t have to ask Trump to stay on. Secondly, Trump claims he asked Comedy about any investigation into the president and that the answer was,  You are not under investigation.  That doesn t make any more sense.Comey s side of the story is a lot different. According to the New York Times,  As they ate, the president and Mr. Comey made small talk about the election and the crowd sizes at Mr. Trump s rallies. The president then turned the conversation to whether Mr. Comey would pledge his loyalty to him. When Comey refused to offer such a pledge, Trump persisted. While Comey did say he would be honest with Trump, the New York Times is reporting that,  Mr. Comey declined to make that pledge. Instead, Mr. Comey has recounted to others, he told Mr. Trump that he would always be honest with him, but that he was not  reliable  in the conventional political sense. Loyalty has always been super important to Trump throughout his life. As a businessman, it makes sense. You need to know that your proprietary information is going to stay private. When you are the leader of the United States (or any other country), this is not the same thing. It reeks of dictatorship.Of course, the White House is pushing back hard on the claims that the dinner in question was not the way Comey describes it. That is not surprising. The White House seems to come away from most events, from the Inauguration to pretty much everything that happens everywhere, with a different view than the rest of us.Perhaps the best way to look at this is how Former Congressman John Dingell Tweeted:It's a bit wild to see the Trump administration begin the same way Nixon's ended.I'd be laughing my ass off if I weren't so damn worried.  John Dingell (@JohnDingell) May 12, 2017Featured image via Alex Wong/Getty Images.",0
1504, North Korea Promises To “Mercilessly Wipe Out” Alleged U.S. Assassination Plotters,"North Korea is now vowing to  mercilessly wipe them out  while seeking extradition for those responsible for allegedly plotting to kill Kim Jong-un last week.The Vice Foreign Minister Han Song-ryol repeated the charge in a meeting on Thursday with foreign envoys in Pyongyang, that an attempted assassination on Kim Jong Un was carried out by the United States and South Korean intelligence agencies. Heinous terrorists were recently detected in the DPRK [Democratic People s Republic of Korea],  According to North Korean state news agency (KCNA),  The terrorists were infiltrated by the CIA of the U.S. and the puppet National Intelligence Service (NIS) of South Korea in a bid to commit state-sponsored terrorism against the supreme leadership of the KPRK by use of a biochemical substance. So far, North Korea s only individual suspect for the assassination attempt is a Pyongyang resident who allegedly was brainwashed and bribed by U.S. and South Korean agents to assassinate the leader. According to our law, the Central Public Prosecutor s Office of the KPRK will use all available methods to start to work to demand the handover of the criminals involved, so as to punish the organizers, conspirators, and followers of the terrible state-sponsored terrorism,  Said Han.Han then reportedly  declared the principle stand of the DPRK government to find out all of the terrorist maniacs and mercilessly wipe them out. Furthering his warning, Han stated that  Korean-style war on terrorism will be commenced at once in a consecutive and intensive way to root out the plot-breeding centers and dens of evil on this planet, including the CIA and the NIS. Interestingly enough, these threats come days after the newly elected South Korean president, Moon Jae-in, called for economic cooperation and increased dialogue with North Korea.This rhetoric couldn t come at a worse time, considering the increased tensions between the United States and North Korea over its nuclear ambitions and missile tests.Photo by Chung Sung-Jun/Getty Images",0
1505, Keith Olbermann Begs Foreign Intel Agencies To Save Us From Trump (VIDEO),"Keith Olbermann has been speaking out against Donald Trump for months via his show on GQ, The Resistance. He has continuously warned us about how dangerous this man is to our democracy. But on Thursday, he did something that was both unexpected and yet arguably necessary at this point: He pleaded with foreign intelligence agencies from around the world to help save the citizens of the U.S. from this  coup  by releasing any damning information they may have on the Trump administration.Olbermann begged these intel agencies, from all across the globe, to make the information they are rumored to have available to the American public. He urged them not to wait, to act now. Give the information to a reporter, leak it, put it on the internet, leave it outside someone s back door, he pleaded in desperation.Trump has fired the man investigating him, crippling our own intelligence agencies in the process, Olbermann continued. American citizens have lost their democracy as a result of this coup, and Republicans, the very people who have the power to stop him today, are choosing to do nothing. In a last ditch effort to save the U.S. from Trump, Olbermann has turned to the only people left that can help us: the intelligence agencies of other countries.Whether or not Olbermann s call to action will move someone to release damaging information remains to be seen. In the meantime, we can only cross our fingers and wait.You can watch Olbermann s passionate plea here:NEW: I appeal to the Intel Agencies of the world. Trump has enacted a coup here. We need what you have on him pic.twitter.com/E0KbP8TUul  Keith Olbermann (@KeithOlbermann) May 12, 2017Featured image via viceo screen capture",0
1506, FBI Agents Are Doing Something Unusual In The Wake Of Comey’s Firing,"Prior to the Nov. 8 election, the FBI was, more or less, Trumpland. They wanted Trump to win. They neither trusted nor approved of Hillary Clinton. And that anti-Hillary attitude led to a number of anti-Hillary leaks to the press from the agency. They were angry with James Comey s decision not to indict Hillary over her emails.Now, though, the FBI is wracked with shock, anger and grief over Comey s sudden firing. According to the Daily Beast, one agent said his abrupt dismissal was like a death in the family. Another said that they re basically  sitting shiva,  which is a Jewish ritual of mourning just after a funeral.And some of them are doing something very unusual for a situation like this: They re posting pictures of themselves with Comey on social media, and even changing their profile pics to those of Comey. That s a gesture generally reserved for someone who dies.Acting Director Andrew McCabe told the Senate Judiciary Committee that Comey was well-liked and had broad support throughout the bureau. In other words, when Trump said that Comey had lost the trust and respect of his rank and file, he was either not speaking for the majority of the rank and file, or he was flat-out lying.Rank-and-file agents were also very suspicious of the timing of Comey s firing, wondering whether it had anything to do with the Russia probes. Various officials  phones were ringing off the hook. FBI headquarters in D.C. was more or less locked down and not answering the flood of phone calls coming in.One agent told the Daily Beast that there s likely to be serious distrust of whoever Trump puts into Comey s place: No matter who gets the job, there will be a cloud of suspicion because the President is unpopular with much of the [U.S.]. That bad faith will make it harder to do my job. Trump undermined the public s trust in the FBI more than Comey ever could. The new director is going to face a tough confirmation, with much of the Senate viewing Trump with suspicion, too. That makes possible picks like Rudy Giuliani out of the question   he s going to have to tread very carefully with Comey s replacement. In the meantime, McCabe has assured the Senate that he ll let them know immediately if the White House tries to interfere with the Russia probes in any way at all.Featured image by Zach Gibson via Getty Images",0
1507, Tim Kaine Can’t Hold Back His Tears During Heart Wrenching Health Care Hearing,"On Wednesday, Senate Democrats held a shadow hearing  to hear what the American people have to say about the GOP health care bill. It was an emotional scene, with story after story about how much harm the American Health Care Act will cause. After listening to one particularly heartbreaking story, Sen. Tim Kaine was so moved that he was unable to hold back his tears.I remember standing at the mailbox with my tiny baby   she was still under 10 pounds at 11 months old   cradled in my arms, and opening an envelope from the children s hospital with a bill inside for $64,000, more than my husband s annual salary, for merely  renting  the surgical room and equipment used during her heart surgery the month before, said Cyndi Johnson, a math teacher from Bloomington, Indiana.Johnson continued, explaining that before the Affordable Care Act became the law of the land, the medical costs she found herself paying out of pocket for her baby were spiraling with no end in sight.  In order to provide around the clock care for her daughter, Johnson had to quit her job. But Obamacare changed all that. She explained that if the ACA hadn t removed the lifetime cap, her daughter would have reached it before her fifth birthday.As a parent, absolutely nothing else matters when your child is sick,  Johnson said.  Your world shrinks and everything else just falls away. I would have sold my house, my car, done literally anything to keep my daughter healthy   and no family should have to make that horrible choice. All the senators had the hearing were moved by Johnson s testimony, but Tim Kaine choke back his tears.Mrs. Johnson, tears just started rolling down my face,  Kaine said.  The people who passed this law couldn t care less what any of you think or what any of your experiences are. Just think, instead of Mike Pence, who can t wait to snatch health care away from sick babies, we could have had Tim Kaine as our vice president. But, her emails.Featured image via Justin Sullivan/Getty Images",0
1508, GOPer Who Resurrected Trumpcare Just Got WRECKED By A Father At Town Hall (VIDEO),"Hey, you remember the GOPer who is responsible for the amendment to Trumpcare that allows states to obtain waivers to the provision that requires insurers to charge customers the same regardless of pre-existing conditions? Well, in case you don t, his name is Tom MacArthur of New Jersey, and he s not very popular back home right now.The former health insurance executive was one of only two Republicans from his state to back Trump s signature deathcare legislation, even writing the amendment that allows insurers to bilk people with preexisting conditions out of more of their money than they will already be throwing at their increased premiums under the Republican plan.On Wednesday, MacArthur s constituents gathered to tear him a new orifice.MacArthur asked about pre-existing protection changes. Audience: ""If you have a pre-existing condition, stand up."" Most audience on feet. pic.twitter.com/V4lhgGVX7q  Dan Diamond (@ddiamond) May 10, 2017One attendee in particular stood out when he gave an emotional explanation of why MacArthur and all who think like him are absolutely awful.Geoff Ginter is a certified medical assistant and both of his kids have pre-existing conditions. He also, for some reason, gets very angry when someone tries to kill his children:My wife was diagnosed with cancer when she was 40 years old. She beat it, but every day   every day   she lives with it. She thinks about it. Every pain, every new something going on somewhere, is it coming back? Is this cancer? Do I have it again? Is it gonna kill me this time? Is it gonna take me away from my children? Speaking of which: my children. Both have pre-existing conditions from birth. One cardiac, one thyroid. You have been the single greatest threat to my family in the entire world. You are the reason I stay up at night. You are the reason that I cannot sleep. What happens if I lose my job?He s right. As of now, not just MacArthur but the entire GOP from top to bottom is the  single greatest threat  to all our families. They are the reasons we stay up at night   because they represent the worst that humanity has to offer.Watch  it below, and try to figure out how MacArthur sleeps at night. We can t.Man angrily tells MacArthur: ""You have been the single greatest threat to my family."" Says GOP bill was dead until MacArthur resurrected it. pic.twitter.com/U1O8vTwVBx  Dan Diamond (@ddiamond) May 11, 2017Featured image via screengrab",0
1509, BREAKING: FBI Is Raiding GOP Election Consulting Firm,"While the Republican Party rants on and on about non-existent voter fraud, the evidence is mounting that they are the party that is engaged in electoral malfeasance and now, the FBI is raiding a firm that helped in Republican elections.The raid was on the Strategic Campaign Group. According to reports, about a half dozen FBI agents arrived Thursday morning to search and seize records.Details are scant now, and will be updated as the story develops, but here s what we have so far, and none of it has anything to do with Donald Trump:(Kelley) Rogers (President of Strategic Campaign Group), who said his firm represents the campaign committees for Maryland House and Senate candidates, told reporters that the FBI investigation concerns work the firm performed during the 2013 Virginia gubernatorial campaign of former Virginia Attorney General Ken Cuccinelli, a Republican.According to Rogers, his firm settled a civil suit brought by the Cuccinelli campaign after he lost that race to Democrat Terry McAuliffe. Rogers said the investigation appears to have stemmed from allegations brought in that suit. Twitter, though, has their theories and none of them look good for Donald Trump.The Cuccinelli suit (which was settled for between $75,000 and $85,000) alleged that Strategic Campaign Group and the associated Conservative Strike Force Political Action Committee   an independent group not affiliated with the candidate   raised about $2.2 million by assuring donors it would spend the money to help elect the GOP candidate. The suit alleged that the PAC and Strategic Campaign Group failed to follow through on promises for an extensive media campaign on Cuccinelli s behalf.Source: Capital GazetteThis isn t to imply that just because they were busted once, that s their only crime. The timing perfectly coordinates with warrants and subpoenas being issued in the Trump/Russia investigation. According to the left wing blog The Palmer Report:One of the insiders whose sources correctly pointed to today s FBI action is Democratic insider Claude Taylor. In the wake of the Annapolis raid, he s now sharing the following:  Source in legal community reports large number of Warrants from Eastern District of Virginia being executed. By the FBI. Source reports frenzy of activity inside the EDVA, large number of agents, US Marshals. The battle has been joined  (link). He goes on to add more details about the goings-on at the Eastern District Court of Virginia, which Comey recently confirmed is working with the FBI on the Trump-Russia investigation. The basement of the EDVA was described as resembling a  judicial Armada  with a dozen or more FBI and US Marshals vans,  Taylor states.Regardless of whether this is about Trump or not, it s clear that the GOP has gotten cocky in their lawlessness and their chickens are coming home to roost. We ll keep you updated as this story develops.Featured image via Justin Sullivan/Getty Images.",0
1510, Trump Displays Incredible Ignorance Yet Again — Claims Credit For Term Coined Over A Hundred Years Ago,"Have you ever wondered where a phrase started? How about the phrase  prime the pump?  It is widely considered to mean the use of government money to get a project going. While it dates back to the 1800s, President Donald Trump is now claiming that he invented the phrase. In reality, the use of the phrase  prime the pump  predates Trump s own birth by a hundred years, and the use of it in the current economic sense has existed since the 1930s.In a recent conversation with The Economist, this exchange happened (they were talking about Trump s tax plan):The Economist: But beyond that it s OK if the tax plan increases the deficit? Trump: It is OK, because it won t increase it for long. You may have two years where you ll you understand the expression  prime the pump ? The Economist: Yes. Trump: We have to prime the pump. The Economist: It s very Keynesian. Trump: We re the highest-taxed nation in the world. Have you heard that expression before, for this particular type of an event? The Economist: Priming the pump? Trump: Yeah, have you heard it? The Economist: Yes. Trump: Have you heard that expression used before? Because I haven t heard it. I mean, I just I came up with it a couple of days ago and I thought it was good. It s what you have to do.According to The Free Dictionary:Prime the Pump: Encourage the growth or action of something, as in  Marjorie tried to prime the pump by offering some new issues for discussion.  In the late 1800s this expression originally was used for pouring liquid into a pump to expel the air and make it work. In the 1930s it was applied to government efforts to stimulate the economy and thereafter was applied to other undertakings.It is hardly surprising that a) Trump had never heard this phrase, as it is rarely used on Twitter and b) he would take credit for it. In a week with so many gaffes, lies and just strange behavior, this may not be as big an issue but it s clear how little this man knows and how little he understands the world and reality that the rest of us live in. Another explanation could be that Trump is much, much older than we have been led to believe and has gone completely senile.Featured image via Photo by Joe Raedle/Getty Images.",0
1511, WATCH: ‘The View’ TRASHES Trump For Barring American Press From Covering Meeting With Russian Officials,"Donald Trump s decision to choose Russian state media over American journalists has drawn the ire of the ladies on  The View. On Wednesday, just one day after firing FBI Director James Comey as the agency continues to investigate his Russia scandal, Trump took a meeting with Russian ambassador Sergey Kislyak. Kislyak is the Russian official whom Michael Flynn spoke to during the transition, an action that raised further concerns about Trump s ties to Russia and Vladimir Putin.And raised even more concerns by letting Russian state media attend the meeting complete with all of their equipment, while banning the free press in the United States from attending.The decision especially concerns former CIA deputy director David Cohen.After Vice-President Joe Biden s former national security adviser posed a  deadly serious  question about whether it was smart of Trump to allow Russian state media and their equipment in the Oval Office, Cohen replied.@ColinKahl No, it was not.  David S. Cohen (@cohendavid) May 10, 2017Kahl went to explain that he wasn t even allowed to bring his phone into the Oval Office, nor was he allowed to let foreign delegations bring cameras in that room. But Trump let Putin s propaganda machine do it.This infuriated Joy Behar so much that she ripped Trump a new one on Thursday, calling his actions  treasonous  and  un-American. He s speaking to the Russian foreign minister and ambassador Kislyak who s the one who Michael Flynn got fired for talking to,  Behar said.  And in the room, here s Trump talking to the Russians and the Russian press is there covering, and guess who s missing from the room? The American press. They were barred from the room. This is treason to me. This is un-American, it s unpatriotic. Americans should be furious. Here s the video via YouTube:Indeed, Americans should also be worried. Trump may have just compromised national security by letting Putin s propaganda network inside the Oval Office. The threat of listening devices and cameras being covertly placed inside the Oval Office is a very real threat. This is where the president often meets with foreign officials, staffers, members of Congress, and military leaders.Inviting a Russian state media crew into the Oval Office is irresponsible. Trump s refusal to let American media cover the meeting is flagrantly outrageous because Trump chose Putin s propaganda machine over the American free press. It s suspicious and makes one wonder what Trump wanted to hide from the American people.Featured Image: Screenshot",0
1512," Russian Photographer In The Oval Office Raises Eyebrows, Security Problems","Former U.S. intelligence officials have criticized the presence of a Russian photographer capturing President Trump s meeting with Russian Foreign Minister Sergei Lavrov in the Oval Office on Wednesday, citing the potential for a security breach. Concerns were raised after photographs of the meeting were posted on the TASS Russian News Agency website.The White House, however, is playing down the situation, with one senior administration official stating that the Russian had to go through the same screening as a member of the U.S. press going through the main gate to the [White House] briefing room.  Furthermore, the official claims that the White House was misled, claiming that Russian officials had stated that the individual in question was actually Lavrov s personal photographer, concealing the fact that he was also a TASS employee, clearing demonstrating their screening of the Russian photographer was not sufficient. We were not informed by the Russians that their official photographer was dual-hatted and would be releasing the photographs on the state news agency,  said the White House administration official.Former deputy CIA director David S. Cohen was one of several who expressed their concerns over the Russian photographer s presence. Cohen took to Twitter to respond to an online question as to whether or not he thought it was an intelligent decision to have the photographer present at the event, tweeting No it was not.  However, Cohen would not elaborate when pressed for further opinions.Other former security officials have made their unease over the whole situation public, with some describing it as a potential security threat, claiming that White House security screenings aren t foolproof and sophisticated espionage devices could be missed. Others have noted that, not only is it not below the Russians to plant a bug in the White House, but if they managed to pull off such a feat, it wouldn t be the first time they were successful. In late 1999, a listening device that was eventually traced back to Russia was found in a White House conference room where Secretary of State Madeleine Albright had been conducting meetings.Featured image by Chip Somodevilla/Getty Images",0
