id,title,text,label
6513,Trump Organization says it has no plans to build Buenos Aires tower,"BUENOS AIRES (Reuters) - The Trump Organization has no plans to build in Buenos Aires, a spokeswoman told Reuters on Tuesday, ending speculation a new Trump office tower would soon appear near the landmark obelisk in the heart of Argentina’s capital.  The city government said in late November it had declined to authorize a permit to build an office tower linked to the U.S. president-elect, clarifying that developers would have to file new paperwork for it to be reconsidered. The “Trump Tower” project made international headlines after a local news report that Trump mentioned the proposed office complex when Argentine President Mauricio Macri put in a congratulatory call to him after his Nov. 8 election.  The Macri administration said the report was untrue and that the project was not mentioned during the call. Macri knew Trump from his days working as a businessman but had said before the election he preferred Democrat Hillary Clinton.   “There are no plans to build in Buenos Aires,” said the Trump Organization spokeswoman, who asked not to be named. Trump, a businessman who has never held public office, has real estate and leisure holdings all over the world, sparking concerns his investments could color his decision-making after he becomes president on Jan. 20.  He has said he will remove himself from day-to-day business operations before taking office, avoiding potential conflicts of interest by transferring control of his businesses to his three eldest children. His company pulled out of a hotel venture in Rio de Janeiro last month. Developers YY Development Group, which built a nearly completed Trump Tower at the Punta del Este resort in Uruguay, told the Argentine paper La Nacion this week that the Buenos Aires project had been called off for now. The Buenos Aires city government said in November the Trump project first surfaced in early 2007 when a firm identified as Kubic S.A. filed a building request for a plot of land now used as a downtown parking lot. The plan was approved, but expired when construction did not begin within a stipulated three-year period, the city’s statement said. Last August, the city said, a firm called Repetto Oeste SA sought to revive the 2007 plan, but the request was not authorized. ",1
6514,Republicans make repealing Obamacare 'first order of business',"WASHINGTON (Reuters) - President Barack Obama exhorted fellow Democrats on Wednesday to preserve his legacy-defining healthcare law as Republicans moved ahead with their long-sought bid to scrap it in what Vice President-elect Mike Pence called the “first order of business” of Donald Trump’s administration. The emerging Democratic strategy is to warn that Republicans risk throwing the entire U.S. healthcare system into chaos by moving to dismantle the 2010 Affordable Care Act, popularly known as Obamacare, without a plan to replace it.  Republicans argue the system is already broken and that they will help more people gain coverage by repealing the law while working to minimize disruptions to those who depend on it. Both Obama and Pence visited Capitol Hill for closed-door discussions on Obamacare. Pence, the Indiana governor and a former member of the U.S. House of Representatives, met Republican lawmakers to plot the path forward on scuttling the law.  “The first order of business is to keep our promise to repeal Obamacare and replace it with the kind of healthcare reform that will lower the cost of health insurance without growing the size of government,” Pence told a news conference. Down the hall from Pence, Obama, who hands over the presidency to Trump on Jan. 20, urged Democratic lawmakers to protect his signature domestic policy measure. He told reporters his message was: “Look out for the American people.” Democrats acknowledge they lack the votes needed to stop repeal legislation being pushed by Republicans, who will control the White House and both chambers of Congress when Trump takes office. But they are warning of the risks of the repeal legislation in hopes of spurring a public backlash against it. Without a replacement by Republicans, as early as 2018, the roughly 20 million people who gained insurance under the law could see their coverage in jeopardy. “The Republican plan to cut healthcare wouldn’t ‘make America great again,’” Senate Democratic leader Chuck Schumer told reporters, invoking Trump’s campaign slogan. “It would make America sick again and lead to chaos instead of affordable care.” Since the law was enacted, Republicans in Congress have voted more than 50 times to try to repeal all or part of it and conservatives have filed suits to try to invalidate it. Republicans criticize Obamacare as an excessive government intrusion into the healthcare market and contend it is harming job growth by adding burdens on businesses. Republicans on Wednesday stepped up their rhetorical attack on Obamacare, with House Speaker Paul Ryan saying the law ruined the American healthcare system. Trump wrote on Twitter that Republicans “must be careful in that the Dems own the failed ObamaCare disaster, with its poor coverage and massive premium increases.”    Pence said Trump would work with congressional leaders for a “smooth transition to a market-based healthcare reform system” through legislative and executive action.     Republicans have offered few details, however, on what a replacement for Obamacare would look like. Ryan said lawmakers would take action that did not “pull the rug out from anybody” and that the party had “plenty of ideas.” Democratic Senator Debbie Stabenow said Republicans were “pulling the string that’s going to unravel the whole (healthcare) system.” Schumer said any effort by Republicans to shift the blame to Democrats would fail: “They want to repeal it and then try to hang it on us. Not going to happen. It’s their responsibility, plain and simple.”  The House Republican Study Committee, composed of the most conservative members of the chamber, signaled they were aware of the risk of appearing not to have a plan and filed a bill on Wednesday that could constitute a replacement. House Republicans last year offered a proposal that would, among other things, provide refundable tax credits to help people afford their medical insurance premiums. Obamacare helped people obtain insurance by increasing funding to states to expand the Medicaid healthcare program for the poor and providing government subsidies to help people obtain coverage from private insurers through government-run exchanges. Republican Senator Rand Paul, who is a doctor, joined the Democrats in voting against beginning consideration of the Obamacare repeal resolution. While Paul said he supported repealing the law, he added the current proposal would increase the government debt by $9.7 trillion in the next 10 years.  “Is that really what the Republican Party represents?” Paul said during Senate floor debate. The United States has a more complicated healthcare system than some other rich nations whose governments provide medical coverage. Many Americans get health insurance through their employers. Others buy policies directly from private insurers or are eligible for government-run programs for elderly and low-income people. About 29 million had no medical insurance in 2015, according to the most recent government statistics. The U.S. population tops 320 million people. Trump has vowed to protect some popular parts of Obamacare, such as barring insurance companies from denying coverage to people with pre-existing medical conditions. ",1
6515,Trump fills top jobs for his administration,"(Reuters) - President-elect Donald Trump on Wednesday said Walter “Jay” Clayton, an attorney who advises clients on major Wall Street deals, was his choice to lead the U.S. Securities and Exchange Commission. Below is a list of Republican Trump’s selections for top jobs in his administration. Senate confirmation is required for all the posts except national security adviser and White House posts. Tillerson, 64, has spent his entire career at Exxon Mobil Corp (XOM.N), where he rose to chairman and chief executive officer in 2006. A civil engineer by training, the Texan joined the world’s largest energy company in 1975 and led several of its operations in the United States as well as in Yemen, Thailand and Russia. As Exxon’s chief executive, he maintained close ties with Moscow and opposed U.S. sanctions against Russia for its incursion into Crimea. Mnuchin, 54, is a successful private equity investor, hedge fund manager and Hollywood financier who spent 17 years at Goldman Sachs Group Inc (GS.N) before leaving in 2002. He assembled an investor group to buy a failed California mortgage lender in 2009, rebranded it as OneWest Bank and built it into Southern California’s largest bank. Housing advocacy groups criticized the bank for its foreclosure practices, accusing it of being too quick to foreclose on struggling homeowners. Mattis is a retired Marine general known for his tough talk, distrust of Iran and battlefield experience in Iraq and Afghanistan. A former leader of Central Command, which oversees U.S. military operations in the Middle East and South Asia, Mattis, 66, is known by many U.S. forces by his nickname “Mad Dog.” He was rebuked in 2005 for saying: “It’s fun to shoot some people.” Sessions, 70, was the first U.S. senator to endorse Trump’s presidential bid and has been a close ally since. Son of a country store owner, the senator from Alabama and former federal prosecutor has long taken a tough stance on illegal immigration, opposing any path to citizenship for undocumented immigrants.  Zinke, 55, a first-term Republican representative from Montana and a member of the House subcommittee on natural resources, has voted for legislation that would weaken environmental safeguards on public lands. He has taken stances favoring coal, which suffered during the Obama administration. The League of Conservation Voters, which ranks lawmakers on their environmental record, gave Zinke an extremely low lifetime score of 3 percent. Ross, 79, heads the private equity firm W.L. Ross & Co, and Forbes has pegged his net worth at about $2.9 billion. A staunch supporter of Trump, Ross helped shape the Trump campaign’s views on trade policy. He blames massive U.S. factory job losses on the North American Free Trade Agreement (NAFTA) with Canada and Mexico, which went into force in 1994, and the 2001 entry of China into the World Trade Organization.      Lighthizer served as deputy U.S. trade representative during the Reagan administration in the 1980s and has since spent nearly three decades as a lawyer representing U.S. companies in anti-dumping and anti-subsidy cases, currently with the law firm Skadden, Arps, Slate, Meagher and Flom. A harsh critic of China’s trade practices, Lighthizer in 2010 told Congress that U.S. policymakers should take a more aggressive approach in dealing with the Asian country. Puzder, chief executive officer of CKE Restaurants Inc [APOLOT.UL], which runs the Carl’s Jr. and Hardee’s fast-food chains, has been a vociferous critic of government regulation of the workplace and the National Labor Relations Board. Puzder, 66, has argued that higher minimum wages would hurt workers by forcing restaurants to close and praises the benefits of automation, so his appointment is likely to antagonize organized labor.  U.S. Representative Price, 62, is an orthopedic surgeon who heads the House Budget Committee. A representative from Georgia since 2005, Price has criticized Obamacare and has championed a plan of tax credits, expanded health savings accounts and lawsuit reforms to replace it. He is opposed to abortion. Carson, 65, is a retired neurosurgeon who dropped out of the Republican presidential nominating race in March and threw his support to Trump. A popular writer and speaker in conservative circles, Carson had been reluctant to take a position in the incoming administration because of his lack of experience in the federal government. He is the first African-American picked for a Cabinet spot by Trump. Chao, 63, was labor secretary under President George W. Bush for eight years and the first Asian-American woman to hold a Cabinet position. She is a director at Ingersoll Rand Plc (IR.N), News Corp (NWSA.O) and Vulcan Materials Co (VMC.N). She is married to U.S. Senate Majority Leader Mitch McConnell, a Republican from Kentucky. Perry, 66, adds to the list of oil drilling advocates skeptical about climate change who have been picked for senior positions in Trump’s Cabinet. The selections have worried environmentalists but cheered an oil and gas industry eager for expansion. Perry, who ran unsuccessfully for the 2012 Republican presidential nomination and briefly ran for president in 2016, would be responsible for U.S. energy policy and oversee the nation’s nuclear weapons program.  DeVos, 58, is a billionaire Republican donor, a former chair of the Michigan Republican Party and an advocate for the privatization of education. As chair of the American Federation for Children, she has pushed at the state level for vouchers that families can use to send their children to private schools and for expansion of charter schools. The final leadership role of Kelly’s 45-year military career was head of the U.S. Southern Command, responsible for U.S. military activities and relationships in Latin America and the Caribbean. The 66-year-old retired Marine general differed with Democratic President Barack Obama on key issues and has warned of vulnerabilities along the United States’ southern border with Mexico. Priebus recently was re-elected to serve as Republican National Committee chairman but will give up the job to join Trump in the White House, where the low-key Washington operative could help forge ties with Congress to advance Trump’s agenda. Priebus, 44, was a steadfast supporter of Trump during the presidential campaign even as the party fractured amid the choice. ENVIRONMENTAL PROTECTION AGENCY ADMINISTRATOR: SCOTT PRUITT An ardent opponent of Obama’s measures to stem climate change, Oklahoma Attorney General Pruitt, 48, has enraged environmental activists. But he fits with the president-elect’s promise to cut the agency back and eliminate regulation that he says is stifling oil and gas drilling. Pruitt became the top state prosecutor for Oklahoma, which has extensive oil reserves, in 2011 and has challenged the EPA multiple times since. U.S. Representative Mick Mulvaney, 49, a South Carolina Republican, is a fiscal conservative. He was an outspoken critic of former House of Representatives Speaker John Boehner, who resigned in 2015 amid opposition from fellow Republicans who were members of the House Freedom Caucus. Mulvaney was first elected to Congress in 2010. Haley, 44, has been the Republican governor of South Carolina since 2011 and has little experience in foreign policy or the federal government. The daughter of Indian immigrants, she led a successful push last year to remove the Confederate battle flag from the grounds of the South Carolina state capitol after the killing of nine black churchgoers in Charleston by a white gunman. McMahon, 68, is a co-founder and former chief executive of the professional wrestling franchise WWE, which is based in Stamford, Connecticut. She ran unsuccessfully as a Republican for a U.S. Senate seat in Connecticut in 2010 and 2012 and was an early supporter of Trump’s presidential campaign. U.S. Representative Pompeo, 53, is a third-term congressman from Kansas who serves on the House of Representatives Intelligence Committee, which oversees the CIA, National Security Agency and cyber security. A retired Army officer and Harvard Law School graduate, Pompeo supports the U.S. government’s sweeping collection of Americans’ communications data and wants to scrap the nuclear deal with Iran. Walter “Jay” Clayton is a New York-based attorney who advises clients on major Wall Street deals, specializing in public and private mergers and acquisitions and capital-raising efforts. His past clients have included Alibaba Group Holding Company (BABA.N), Oaktree Capital Group (OAK.N) and big banks.    Retired Lieutenant General Flynn was an early Trump supporter and serves as vice chairman on his transition team. He began his Army career in 1981 and was deployed in Afghanistan and Iraq. Flynn became head of the Defense Intelligence Agency in 2012 under Obama but retired a year earlier than expected, according to media reports, and became a fierce critic of Obama’s foreign policy. Tom Bossert, 41, who worked as deputy homeland security adviser to former Republican President George W. Bush, will serve as the assistant to the president for homeland security and counterterrorism. He currently runs a risk management consulting firm and has a cyber risk fellowship with the Atlantic Council think tank in Washington. Cohn, 56, president and chief operating officer of investment bank Goldman Sachs Group Inc (GS.N), had widely been considered heir apparent to Lloyd Blankfein, CEO of the Wall Street firm. Trump hammered Goldman and Blankfein during the presidential campaign, releasing a television ad that called Blankfein part of a “global power structure” that had robbed America’s working class. Navarro, 67, has suggested a stepped-up engagement with Taiwan, including assistance with a submarine development program. A professor at University of California, Irvine, who advised Trump during the campaign, Navarro argued that Washington should stop referring to the “one China” policy, but stopped short of suggesting it should recognize Taipei: “There is no need to unnecessarily poke the Panda.” Viola, 60, is a graduate of the U.S. Military Academy at West Point graduate and a U.S. Army veteran who served in the famed 101st Airborne Division. He founded high-frequency trading firm Virtu Financial Inc (VIRT.O) and served as  chairman of the New York Mercantile Exchange, where he began his financial services career. After the Sept. 11, 2001, al Qaeda attacks on New York and Washington, Viola helped found the Combating Terrorism Center at West Point. He is an owner of the Florida Panthers ice hockey team. CHIEF WHITE HOUSE STRATEGIST, SENIOR COUNSELOR: STEVE BANNON The former head of the conservative website Breitbart News came aboard as Trump’s campaign chairman in August. A rabble-rousing conservative media figure, he helped shift Breitbart into a forum for the alt-right, a loose confederation of those who reject mainstream politics and includes neo-Nazis, white supremacists and anti-Semites. His hiring signals Trump’s dedication to operating outside the norms of Washington. As White House chief of staff, Bannon, 63, will serve as Trump’s gatekeeper and agenda-setter. ",1
6516,Civil rights activists arrested protesting Trump's Attorney General pick,"(Reuters) - Police in Alabama arrested six civil rights activists staging a sit-in at Senator Jeff Sessions’ office on Tuesday to protest his nomination for U.S. Attorney General, criticizing his record on voting rights and race relations. Sessions, 70, has a history of controversial positions on race, immigration and criminal justice reform.  Members of the National Association for the Advancement of Colored People (NAACP) had vowed to occupy Sessions’ Mobile, Alabama office until the conservative Republican lawmaker either withdrew as a candidate or they were arrested. In the end, Cornell Brooks, president and CEO of the NAACP, and Stephen Green, national director of the youth division of the NAACP, were among those arrested, according to a post on the Twitter page of the civil rights organization. The other four protesters arrested by police included Benard Simelton, president of the NAACP’s Alabama state conference, according to local news outlet AL.com. A spokesman for Mobile police could not be reached for comment late on Tuesday. The six protesters were charged with misdemeanor criminal trespassing, according to CNN.  Brooks before his arrest had posted a photo on Twitter of protesters in suits occupying the senator’s Mobile office. “Senator Sessions has callously ignored the reality of voter suppression but zealously prosecuted innocent civil rights leaders on trumped-up charges of voter fraud,” Brooks said in a news release. A spokeswoman for Sessions called the NAACP’s criticisms “false portrayals.”  “Jeff Sessions has dedicated his career to upholding the rule of law, ensuring public safety and prosecuting government corruption,” spokeswoman Sarah Isgur Flores said in a statement. “Many African-American leaders who’ve known him for decades attest to this and have welcomed his nomination to be the next Attorney General.” President-elect Donald Trump in November named Sessions to lead the Justice Department and the FBI, and his history could come under scrutiny from fellow senators during a confirmation process. Sessions was a U.S. prosecutor in 1986 when he became only the second nominee in 50 years to be denied confirmation as a federal judge. This came after allegations that he made racist remarks, including testimony that he called an African-American prosecutor “boy,” an allegation Sessions denied. Sessions denied he was a racist and said at his hearing that groups such as the NAACP and the American Civil Liberties Union could be considered “un-American.” He also acknowledged calling the Voting Rights Act of 1965 “intrusive legislation.” ",1
6517,"Pence: Obamacare replacement to come together in weeks, months ahead","WASHINGTON (Reuters) - U.S. Vice President-elect Mike Pence said on Wednesday the Republican plan to replace the Affordable Care Act will evolve in the months ahead, seeking to deflect criticism by Democrats over dismantling the health care program without an alternate plan. “The architecture of the replacement of Obamacare will come together, as it should, through the legislative process in the weeks and months ahead,” Pence said at a brief news conference after meetings with Republican lawmakers on Capitol Hill. ",1
6518,Trump voices new doubts about Russian efforts to sway U.S. vote,"WASHINGTON (Reuters) - President-elect Donald Trump voiced new doubts on Wednesday that Russian hackers attempted to influence the U.S. election on his behalf, saying WikiLeaks had denied Moscow was behind documents it made public during the campaign. Trump, writing on Twitter, continued to raise questions about the findings by U.S. intelligence agencies that Russia was behind a series of leaks that embarrassed Democratic candidate Hillary Clinton’s campaign before the Nov. 8 vote. The tweets prompted White House spokesman Josh Earnest to ask, “Who are you going to believe?” Documents stolen from the Democratic National Committee and John Podesta, Clinton’s campaign manager, were leaked to the media in advance of the election. One email showed the Clinton campaign received a question in advance of a town hall forum. Trump resumed sending notes on Twitter about the hacking issue on Wednesday, saying, “(WikiLeaks founder) Julian Assange said ‘a 14 year old could have hacked Podesta’ - why was DNC so careless? Also said the Russians did not give him the info!” Trump also quoted Assange as telling Fox News that U.S. media coverage of the matter was “very dishonest.” Asked about the tweets, Earnest said the president-elect’s public comments have pitted the Russians and Assange against 17 U.S. government intelligence agencies, outside cyber experts and lawmakers from both parties. “There’s a pretty stark line that’s been drawn, and the president-elect will have to determine who he’s going to believe,” he said at a daily news briefing. Vice President-elect Mike Pence defended Trump as simply voicing a “very sincere and healthy American skepticism about intelligence conclusions” he has been hearing. “Given some of the intelligence failures of recent years, the president-elect has made it clear to the American people that he’s skeptical about conclusions from the bureaucracy,” Pence told reporters at the U.S. Capitol.  But the top ranking elected Republican, House of Representatives Speaker Paul Ryan, had harsh words for Assange, whose group released the hacked emails. “I think the guy’s a sycophant for Russia, he leaks, he steals data and compromises national security,” Ryan told radio host Hugh Hewitt.  President Barack Obama last month ordered an investigation into malicious cyber activity and foreign intervention in the 2016 presidential election before he leaves office on Jan. 20. Earnest said the intelligence community will meet the deadline with ample time to spare. Separately, five Democratic U.S. senators introduced legislation urging the creation of an independent, nonpartisan commission to investigate any Russian interference in the election. Several lawmakers, including a few of Trump’s fellow Republicans, have backed calls for an investigation. Trump and Pence were scheduled to receive a briefing from intelligence officials on the hacking issue on Friday. ",1
6519,Ex-Senator Coats is top candidate for director of national intelligence: NBC News,"(Reuters) - Former Republican Senator Dan Coats of Indiana is the leading candidate to serve as U.S. President-elect Donald Trump’s director of national intelligence, NBC News reported on Wednesday, citing sources familiar with the discussions. Coats met with Trump on Nov. 30 at Trump Tower in New York City.  ",1
6520,"Exxon Mobil, Tillerson agree to cut all ties","(Reuters) - Exxon Mobil Corp and Rex Tillerson agreed to sever all ties to comply with conflict-of-interest requirements as the company’s former chairman and chief executive awaits confirmation as U.S. secretary of state. If his appointment is confirmed, the value of more than 2 million deferred Exxon Mobil shares (worth about $182 million at Tuesday’s closing price) that Tillerson would have received over the next 10 years will be transferred to an independently managed trust, the company said in a statement. The share awards will be canceled and Tillerson will also surrender entitlement to more than $4.1 million in cash bonuses, scheduled to pay out over the next three years, and other benefits, Exxon Mobil said. Separately, Tillerson also committed to the State Department that, if confirmed, he would sell the more than 600,000 Exxon shares he currently owns, the company said. Exxon said last month its president, Darren Woods, will become chief executive and chairman in January following the retirement of Tillerson. Tillerson could face a rocky confirmation process, given concerns among both Democrats and Republicans about his ties to Russia. Exxon stock has gained 6.5 percent since election results of Nov. 8 up to Tuesday’s close of $90.89. ",1
6521,Trump names additional senior White House aides: statement,"WASHINGTON (Reuters) - U.S. Republican President-elect Donald Trump on Wednesday filled out his incoming White House senior staff jobs, naming three deputy chiefs of staff to help with operations, Trump’s transition team said in a statement. Trump named Katie Walsh of the Republican National Committee as deputy chief of staff to the White House; U.S. Senator Jeff Sessions’ top aide Rick Dearborn as deputy chief of staff for legislative, intergovernmental affairs and implementation, and former White House staffer Joe Hagin as deputy chief of staff for operations. ",1
6522,Obama to deliver farewell address in Chicago on January 10,"HONOLULU (Reuters) - U.S. President Barack Obama will deliver a farewell address on Jan. 10 to reflect on his time in office and say thank you to his supporters, he said in an email statement released on Monday. Obama, noting that the first president of the United States, George Washington, had penned a farewell address in 1796, said he would deliver his speech in his hometown of Chicago.   “I’m thinking about (the remarks) as a chance to say thank you for this amazing journey, to celebrate the ways you’ve changed this country for the better these past eight years, and to offer some thoughts on where we all go from here,” he said. Republican Donald Trump will be sworn in to office on Jan. 20. During his campaign for the White House, Trump pledged to undo many of Obama’s signature policy measures, including his healthcare law. Obama, who campaigned hard for Trump’s Democratic opponent Hillary Clinton, has sought to ensure a smooth transition of power despite major policy differences with his successor. He also leaves his party without a clear figurehead as he leaves the White House. “Since 2009, we’ve faced our fair share of challenges, and come through them stronger,” Obama said in the email, likely foreshadowing a theme for his speech. “That’s because we have never let go of a belief that has guided us ever since our founding - our conviction that, together, we can change this country for the better.” ",1
